Area ID,State,City,AQI (%),WQI (%),Water Quantity (%),Soil Type,Population Density (%),Industry Distance (km),Pollution (%),Cost of Living,Hospitals Nearby,Schools Nearby,Stores Nearby,Livability Label
29,Telangana,Malkajgiri,65.0,60.0,58.0,Red,84.0,6.0,70.0,16200,20,65,135,Not Suitable
30,Telangana,Quthbullapur,70.0,55.0,52.0,Red,86.0,5.0,75.0,15800,18,60,130,Not Suitable
31,Telangana,Bachupally,68.0,58.0,55.0,Red,83.0,4.0,72.0,16800,15,55,125,Not Suitable
32,Telangana,Jeedimetla,82.0,45.0,40.0,Red,88.0,3.0,85.0,15200,12,45,115,Not Suitable
33,Telangana,Balangar,75.0,50.0,45.0,Red,87.0,3.0,78.0,15700,14,48,120,Not Suitable
34,Telangana,Sanathnagar,72.0,52.0,48.0,Red,85.0,4.0,76.0,16300,16,52,128,Not Suitable
35,Punjab,Ludhiana,65.0,60.0,55.0,Alluvial,82.0,10.0,68.0,14000,30,85,150,Not Suitable
36,Haryana,Gurugram,78.0,65.0,60.0,Alluvial,90.0,8.0,82.0,20500,38,100,175,Not Suitable
37,Haryana,Faridabad,75.0,62.0,58.0,Alluvial,88.0,7.0,78.0,18500,35,92,165,Not Suitable
38,Uttar Pradesh,Noida,80.0,60.0,55.0,Alluvial,92.0,6.0,84.0,19500,40,110,180,Not Suitable
39,Uttar Pradesh,Ghaziabad,82.0,58.0,53.0,Alluvial,93.0,5.0,86.0,18000,36,105,170,Not Suitable
40,Uttar Pradesh,Kanpur,85.0,50.0,45.0,Alluvial,86.0,8.0,88.0,14500,28,75,140,Not Suitable
41,Bihar,Patna,80.0,55.0,50.0,Alluvial,89.0,9.0,83.0,12500,25,70,130,Not Suitable
42,Madhya Pradesh,Indore,58.0,75.0,72.0,Black,78.0,15.0,60.0,13500,32,88,155,Suitable
43,Madhya Pradesh,Bhopal,62.0,72.0,70.0,Black,80.0,12.0,65.0,13000,30,85,150,Suitable
44,Gujarat,Surat,72.0,68.0,65.0,Alluvial,85.0,8.0,75.0,15000,33,90,160,Not Suitable
45,Gujarat,Vadodara,65.0,70.0,68.0,Black,80.0,12.0,68.0,14000,30,82,150,Suitable
46,Kerala,Kochi,45.0,88.0,85.0,Alluvial,75.0,20.0,48.0,14500,38,95,160,Suitable
47,Kerala,Thiruvananthapuram,90.0,85.0,82.0,Laterite,72.0,22.0,42.0,20800,35,90,155,Suitable
48,Tamil Nadu,Coimbatore,48.0,82.0,80.0,Red,70.0,18.0,50.0,12500,32,85,145,Suitable
49,Tamil Nadu,Madurai,52.0,78.0,75.0,Red,75.0,15.0,55.0,11800,28,80,140,Suitable
50,Odisha,Bhubaneswar,50.0,80.0,78.0,Alluvial,73.0,16.0,52.0,12000,30,85,148,Suitable
51,Jharkhand,Ranchi,55.0,75.0,72.0,Red,70.0,18.0,58.0,11500,26,78,142,Suitable
52,Jharkhand,Jamshedpur,60.0,72.0,70.0,Red,78.0,10.0,65.0,12800,28,82,150,Not Suitable
53,Assam,Guwahati,65.0,70.0,65.0,Alluvial,76.0,14.0,68.0,13200,25,75,138,Not Suitable
54,Punjab,Amritsar,58.0,72.0,70.0,Alluvial,75.0,16.0,60.0,12200,28,80,145,Suitable
55,Rajasthan,Udaipur,45.0,75.0,78.0,Desert,68.0,25.0,48.0,12800,32,85,150,Suitable
56,Himachal Pradesh,Shimla,70.0,90.0,88.0,Mountain,60.0,30.0,35.0,15000,35,90,155,Suitable
57,Uttarakhand,Dehradun,85.0,85.0,82.0,Mountain,65.0,25.0,45.0,14200,33,88,152,Suitable
58,Goa,Panaji,92.0,92.0,90.0,Laterite,62.0,28.0,40.0,15500,38,95,165,Suitable
59,Chhattisgarh,Raipur,62.0,68.0,65.0,Red,78.0,12.0,65.0,12500,28,80,140,Not Suitable
60,West Bengal,Siliguri,55.0,75.0,72.0,Alluvial,72.0,18.0,58.0,11500,26,75,135,Suitable
61,Andhra Pradesh,Tirupati,90.0,88.0,85.0,Red,65.0,22.0,38.0,21000,30,85,140,Suitable
62,Andhra Pradesh,Nellore,80.0,82.0,80.0,Alluvial,68.0,20.0,42.0,20500,26,78,130,Suitable
63,Andhra Pradesh,Kakinada,85.0,80.0,78.0,Alluvial,70.0,18.0,48.0,25800,24,75,125,Suitable
64,Andhra Pradesh,Kurnool,86.0,75.0,72.0,Black,72.0,16.0,52.0,11200,22,70,120,Suitable
65,Andhra Pradesh,Anantapur,88.0,78.0,75.0,Red,70.0,19.0,50.0,10900,25,72,122,Suitable
66,Andhra Pradesh,Rajahmundry,85.0,84.0,82.0,Alluvial,68.0,21.0,45.0,21500,28,80,135,Suitable
67,Andhra Pradesh,Eluru,85.0,80.0,78.0,Black,70.0,17.0,48.0,21000,25,75,128,Suitable
68,Andhra Pradesh,Ongole,88.0,83.0,80.0,Alluvial,65.0,23.0,40.0,10200,26,78,132,Suitable
69,Andhra Pradesh,Chittoor,95.0,85.0,83.0,Red,62.0,25.0,38.0,19800,28,82,138,Suitable
70,Andhra Pradesh,Kadapa,90.0,80.0,78.0,Red,65.0,22.0,42.0,19500,24,75,130,Suitable
71,Telangana,Nizamabad,92.0,82.0,80.0,Black,65.0,20.0,45.0,10500,26,78,140,Suitable
72,Telangana,Karimnagar,85.0,78.0,75.0,Red,68.0,18.0,48.0,10800,24,75,135,Suitable
73,Telangana,Mahabubnagar,86.0,75.0,72.0,Red,70.0,16.0,52.0,11200,22,70,130,Suitable
74,Telangana,Nalgonda,88.0,76.0,74.0,Black,68.0,19.0,50.0,10900,23,72,132,Suitable
75,Telangana,Sangareddy,92.0,72.0,70.0,Red,72.0,14.0,55.0,11500,25,75,138,Suitable
76,Telangana,Siddipet,45.0,78.0,76.0,Black,65.0,21.0,48.0,11000,26,78,142,Suitable
77,Telangana,Miryalaguda,40.0,80.0,78.0,Red,62.0,23.0,42.0,10500,24,75,135,Suitable
78,Telangana,Jagtial,38.0,82.0,80.0,Black,60.0,25.0,40.0,10200,25,78,140,Suitable
79,Telangana,Adilabad,35.0,84.0,82.0,Red,58.0,27.0,38.0,9800,26,80,145,Suitable
80,Telangana,Kothagudem,55.0,70.0,68.0,Black,75.0,12.0,58.0,12200,20,68,125,Not Suitable
81,Andhra Pradesh,NAD Kotha Road,60.0,58.0,55.0,Red,84.0,6.0,73.0,26000,16,50,110,Not Suitable
82,Andhra Pradesh,Maddilapalem,65.0,62.0,60.0,Alluvial,80.0,8.0,68.0,25200,20,60,120,Not Suitable
83,Andhra Pradesh,Simhachalam,89.0,80.0,82.0,Mountain,60.0,25.0,48.0,24200,32,85,155,Suitable
84,Andhra Pradesh,Rushikonda,83.0,88.0,85.0,Mountain,55.0,30.0,40.0,25500,35,90,160,Suitable
85,Andhra Pradesh,Malkapuram,78.0,55.0,52.0,Alluvial,82.0,5.0,75.0,25800,14,42,100,Suitable
86,Andhra Pradesh,Scindia,50.0,60.0,58.0,Alluvial,79.0,7.0,72.0,25000,18,55,115,Not Suitable
87,Andhra Pradesh,Lawson's Bay Colony,68.0,82.0,84.0,Alluvial,65.0,22.0,45.0,16500,30,88,160,Suitable
88,Andhra Pradesh,Seethammadhara,48.0,78.0,80.0,Alluvial,70.0,18.0,50.0,25800,28,82,155,Suitable
89,Andhra Pradesh,Dwaraka Nagar,60.0,65.0,62.0,Alluvial,78.0,10.0,65.0,34500,22,70,135,Not Suitable
90,Andhra Pradesh,Akkayyapalem,65.0,60.0,58.0,Alluvial,81.0,8.0,70.0,14800,18,60,125,Not Suitable
91,Andhra Pradesh,Sagar Nagar,55.0,70.0,68.0,Alluvial,75.0,12.0,58.0,33800,25,75,140,Suitable
92,Andhra Pradesh,Yendada,40.0,85.0,83.0,Alluvial,62.0,24.0,42.0,35200,32,90,158,Suitable
93,Andhra Pradesh,Gambhiram,58.0,68.0,65.0,Alluvial,76.0,14.0,62.0,14200,20,65,130,Not Suitable
94,Andhra Pradesh,Madhurawada,80.0,75.0,72.0,Alluvial,72.0,16.0,52.0,13500,28,80,145,Suitable
95,Andhra Pradesh,Arilova,69.0,78.0,75.0,Alluvial,68.0,18.0,48.0,12800,30,85,150,Suitable
96,Andhra Pradesh,Parawada,52.0,62.0,60.0,Red,80.0,4.0,68.0,15500,12,40,105,Not Suitable
97,Andhra Pradesh,Atchutapuram,75.0,50.0,45.0,Red,85.0,2.0,80.0,14800,10,35,95,Not Suitable
98,Andhra Pradesh,Nakkapalli,70.0,55.0,50.0,Red,82.0,3.0,75.0,14200,14,45,110,Not Suitable
99,Andhra Pradesh,Anakapalle,55.0,72.0,70.0,Black,75.0,14.0,58.0,28500,26,78,140,Suitable
100,Andhra Pradesh,Bheemunipatnam,38.0,85.0,84.0,Alluvial,60.0,26.0,40.0,13500,33,88,152,Suitable
101,Jammu and Kashmir,Srinagar,32.0,82.0,78.0,Mountain,65.0,22.0,38.0,12500,28,75,140,Suitable
102,Jammu and Kashmir,Jammu,45.0,75.0,72.0,Alluvial,72.0,15.0,50.0,11500,25,70,135,Suitable
103,Himachal Pradesh,Dharamshala,28.0,88.0,85.0,Mountain,55.0,28.0,32.0,13800,30,80,145,Suitable
104,Himachal Pradesh,Kullu,30.0,85.0,82.0,Mountain,58.0,25.0,35.0,12800,26,72,138,Suitable
105,Punjab,Jalandhar,62.0,65.0,60.0,Alluvial,80.0,10.0,68.0,13200,28,78,145,Not Suitable
106,Punjab,Bhatinda,68.0,58.0,55.0,Alluvial,78.0,8.0,72.0,12500,22,65,130,Not Suitable
107,Punjab,Patiala,58.0,70.0,68.0,Alluvial,75.0,12.0,62.0,12800,26,75,140,Suitable
108,Uttarakhand,Haridwar,52.0,75.0,72.0,Alluvial,70.0,18.0,55.0,13500,30,82,148,Suitable
109,Uttarakhand,Rishikesh,38.0,86.0,84.0,Mountain,62.0,24.0,42.0,14500,32,85,155,Suitable
110,Uttarakhand,Haldwani,48.0,78.0,75.0,Alluvial,68.0,16.0,52.0,11800,26,75,135,Suitable
111,Uttarakhand,Rudrapur,65.0,62.0,58.0,Alluvial,75.0,8.0,70.0,12200,20,65,125,Not Suitable
112,Uttar Pradesh,Agra,82.0,50.0,45.0,Alluvial,88.0,6.0,85.0,14500,30,80,150,Not Suitable
113,Uttar Pradesh,Varanasi,85.0,48.0,42.0,Alluvial,92.0,4.0,88.0,13800,28,75,142,Not Suitable
114,Uttar Pradesh,Meerut,78.0,55.0,50.0,Alluvial,85.0,7.0,82.0,14800,32,85,155,Not Suitable
115,Uttar Pradesh,Allahabad,80.0,52.0,48.0,Alluvial,84.0,5.0,84.0,13500,26,78,140,Not Suitable
116,Uttar Pradesh,Bareilly,75.0,58.0,53.0,Alluvial,80.0,9.0,78.0,12800,24,72,135,Not Suitable
117,Uttar Pradesh,Aligarh,72.0,60.0,55.0,Alluvial,82.0,8.0,76.0,13200,26,75,138,Not Suitable
118,Uttar Pradesh,Moradabad,77.0,55.0,50.0,Alluvial,83.0,6.0,80.0,12500,22,68,130,Not Suitable
119,Uttar Pradesh,Saharanpur,70.0,62.0,58.0,Alluvial,79.0,10.0,74.0,13000,25,70,135,Not Suitable
120,Uttar Pradesh,Gorakhpur,68.0,65.0,60.0,Alluvial,78.0,12.0,72.0,12200,23,68,128,Suitable
121,Uttar Pradesh,Firozabad,84.0,45.0,40.0,Alluvial,86.0,3.0,87.0,11800,18,55,120,Not Suitable
122,Uttar Pradesh,Jhansi,62.0,70.0,68.0,Black,72.0,14.0,65.0,11500,25,72,135,Suitable
123,Rajasthan,Jodhpur,65.0,50.0,45.0,Desert,78.0,10.0,70.0,12500,26,75,140,Not Suitable
124,Rajasthan,Kota,68.0,55.0,50.0,Desert,80.0,8.0,72.0,12800,28,78,145,Not Suitable
125,Rajasthan,Bikaner,72.0,48.0,42.0,Desert,75.0,12.0,75.0,12200,22,65,130,Not Suitable
126,Rajasthan,Ajmer,60.0,62.0,58.0,Desert,72.0,15.0,65.0,11800,25,70,135,Suitable
127,Rajasthan,Bhilwara,55.0,68.0,65.0,Black,68.0,18.0,58.0,11200,23,68,128,Suitable
128,Rajasthan,Pushkar,40.0,75.0,78.0,Desert,55.0,25.0,45.0,13500,28,75,145,Suitable
129,Haryana,Panipat,72.0,58.0,53.0,Alluvial,80.0,7.0,76.0,14500,26,75,140,Not Suitable
130,Haryana,Ambala,60.0,68.0,65.0,Alluvial,72.0,14.0,65.0,13200,28,80,145,Suitable
131,Haryana,Yamunanagar,65.0,62.0,58.0,Alluvial,75.0,10.0,70.0,12800,24,72,135,Not Suitable
132,Haryana,Rohtak,70.0,60.0,55.0,Alluvial,78.0,8.0,74.0,13500,26,75,138,Not Suitable
133,Haryana,Hisar,68.0,58.0,52.0,Alluvial,76.0,9.0,72.0,12500,22,68,130,Not Suitable
134,Haryana,Karnal,62.0,65.0,62.0,Alluvial,74.0,12.0,68.0,13800,28,78,142,Suitable
135,Haryana,Panchkula,55.0,75.0,72.0,Alluvial,70.0,16.0,58.0,15200,32,85,155,Suitable
136,Delhi,Dwarka,78.0,60.0,55.0,Alluvial,90.0,8.0,82.0,21000,35,90,165,Not Suitable
137,Delhi,Rohini,80.0,58.0,53.0,Alluvial,92.0,6.0,84.0,20500,32,85,160,Not Suitable
138,Delhi,Mayur Vihar,75.0,62.0,58.0,Alluvial,88.0,9.0,78.0,19500,30,82,155,Not Suitable
139,Delhi,Vasant Kunj,70.0,65.0,62.0,Alluvial,85.0,12.0,75.0,22500,38,95,175,Suitable
140,Delhi,Saket,72.0,63.0,60.0,Alluvial,87.0,10.0,76.0,21800,36,92,170,Not Suitable
141,Bihar,Gaya,75.0,52.0,48.0,Alluvial,82.0,8.0,80.0,10500,20,60,120,Not Suitable
142,Bihar,Bhagalpur,70.0,55.0,50.0,Alluvial,80.0,10.0,75.0,9800,22,65,125,Not Suitable
143,Bihar,Muzaffarpur,72.0,50.0,45.0,Alluvial,83.0,7.0,77.0,9500,18,58,115,Not Suitable
144,Bihar,Darbhanga,68.0,58.0,53.0,Alluvial,78.0,12.0,72.0,9200,20,62,118,Suitable
145,Bihar,Patna City,82.0,45.0,40.0,Alluvial,90.0,4.0,85.0,11000,15,50,110,Not Suitable
146,Jharkhand,Dhanbad,85.0,40.0,35.0,Black,82.0,3.0,88.0,11500,20,60,125,Not Suitable
147,Jharkhand,Bokaro,80.0,45.0,38.0,Red,80.0,5.0,83.0,10800,22,65,130,Not Suitable
148,Jharkhand,Hazaribagh,55.0,72.0,70.0,Red,65.0,18.0,58.0,9800,25,70,135,Suitable
149,West Bengal,Howrah,82.0,50.0,45.0,Alluvial,92.0,5.0,85.0,14500,28,75,140,Not Suitable
150,West Bengal,Durgapur,75.0,55.0,50.0,Alluvial,85.0,8.0,78.0,12500,26,72,135,Not Suitable
151,West Bengal,Asansol,78.0,52.0,48.0,Alluvial,87.0,6.0,82.0,11800,24,68,130,Not Suitable
152,West Bengal,Siliguri More,65.0,60.0,58.0,Alluvial,75.0,12.0,70.0,11200,22,65,125,Not Suitable
153,West Bengal,Bardhaman,60.0,65.0,62.0,Alluvial,72.0,15.0,65.0,10500,25,70,132,Suitable
154,West Bengal,Malda,62.0,62.0,60.0,Alluvial,75.0,10.0,68.0,9800,20,62,120,Not Suitable
155,West Bengal,Kharagpur,58.0,68.0,65.0,Alluvial,70.0,14.0,62.0,10200,23,68,128,Suitable
156,Odisha,Puri,42.0,82.0,85.0,Alluvial,65.0,22.0,45.0,11500,30,80,145,Suitable
157,Odisha,Cuttack,58.0,70.0,68.0,Alluvial,75.0,12.0,62.0,10800,26,75,135,Suitable
158,Odisha,Rourkela,65.0,60.0,55.0,Red,78.0,8.0,70.0,11200,22,65,125,Not Suitable
159,Odisha,Sambalpur,55.0,72.0,70.0,Red,70.0,16.0,58.0,10500,24,70,130,Suitable
160,Odisha,Balasore,48.0,75.0,72.0,Alluvial,68.0,18.0,52.0,9800,25,72,132,Suitable
161,Chhattisgarh,Bhilai,68.0,60.0,55.0,Red,80.0,7.0,72.0,11500,24,68,130,Not Suitable
162,Chhattisgarh,Raigarh,55.0,70.0,68.0,Red,68.0,16.0,58.0,10200,22,65,125,Suitable
163,Chhattisgarh,Korba,80.0,45.0,40.0,Black,78.0,4.0,83.0,10800,18,55,115,Not Suitable
164,Chhattisgarh,Durg,62.0,65.0,62.0,Red,75.0,10.0,65.0,11200,26,72,135,Suitable
165,Chhattisgarh,Rajnandgaon,50.0,75.0,72.0,Black,65.0,19.0,52.0,9800,23,68,128,Suitable
166,Madhya Pradesh,Gwalior,72.0,55.0,50.0,Black,80.0,8.0,75.0,12500,26,75,135,Not Suitable
167,Madhya Pradesh,Jabalpur,65.0,62.0,58.0,Black,78.0,12.0,68.0,11800,28,78,140,Suitable
168,Madhya Pradesh,Ujjain,58.0,68.0,65.0,Black,72.0,15.0,62.0,11200,25,72,132,Suitable
169,Madhya Pradesh,Sagar,55.0,72.0,70.0,Black,68.0,17.0,58.0,10500,23,70,128,Suitable
170,Madhya Pradesh,Dewas,60.0,65.0,62.0,Black,70.0,14.0,65.0,10800,24,68,130,Suitable
171,Madhya Pradesh,Satna,52.0,70.0,68.0,Red,65.0,18.0,55.0,9800,22,65,125,Suitable
172,Madhya Pradesh,Ratlam,62.0,62.0,58.0,Black,72.0,11.0,68.0,10200,20,60,120,Not Suitable
173,Madhya Pradesh,Rewa,50.0,75.0,72.0,Red,68.0,16.0,52.0,9500,25,70,130,Suitable
174,Gujarat,Rajkot,65.0,65.0,62.0,Black,78.0,10.0,68.0,13500,30,82,150,Suitable
175,Gujarat,Bhavnagar,62.0,62.0,58.0,Black,75.0,12.0,65.0,12800,26,75,140,Suitable
176,Gujarat,Jamnagar,58.0,68.0,65.0,Black,72.0,15.0,62.0,12200,28,78,145,Suitable
177,Gujarat,Gandhinagar,52.0,75.0,72.0,Alluvial,70.0,18.0,55.0,14500,32,85,155,Suitable
178,Gujarat,Gandhidham,60.0,65.0,60.0,Alluvial,74.0,10.0,65.0,13200,25,70,135,Suitable
179,Gujarat,Anand,55.0,72.0,70.0,Black,68.0,16.0,58.0,11800,26,75,140,Suitable
180,Gujarat,Nadiad,58.0,70.0,68.0,Black,70.0,14.0,62.0,12500,27,76,142,Suitable
181,Maharashtra,Nagpur,70.0,60.0,55.0,Black,82.0,8.0,75.0,15500,35,90,160,Not Suitable
182,Maharashtra,Nashik,62.0,68.0,65.0,Black,78.0,12.0,65.0,14500,32,85,155,Suitable
183,Maharashtra,Thane,82.0,55.0,50.0,Alluvial,92.0,5.0,85.0,20000,38,95,170,Not Suitable
184,Maharashtra,Pimpri-Chinchwad,68.0,70.0,68.0,Black,84.0,10.0,72.0,17500,34,88,162,Suitable
185,Maharashtra,Kalyan-Dombivli,78.0,58.0,53.0,Alluvial,88.0,6.0,82.0,18500,30,80,155,Not Suitable
186,Maharashtra,Vasai-Virar,75.0,60.0,55.0,Alluvial,85.0,8.0,78.0,17800,28,78,150,Not Suitable
187,Maharashtra,Aurangabad,65.0,65.0,62.0,Black,80.0,10.0,68.0,14200,30,82,148,Suitable
188,Maharashtra,Solapur,62.0,62.0,58.0,Black,75.0,12.0,65.0,13500,26,75,140,Suitable
189,Maharashtra,Bhiwandi,80.0,50.0,45.0,Alluvial,87.0,4.0,83.0,16500,22,65,135,Not Suitable
190,Maharashtra,Amravati,58.0,70.0,68.0,Black,72.0,15.0,62.0,12800,28,80,145,Suitable
191,Maharashtra,Nanded,55.0,72.0,70.0,Black,70.0,16.0,58.0,11800,26,75,138,Suitable
192,Maharashtra,Kolhapur,50.0,78.0,75.0,Black,68.0,18.0,52.0,12500,30,82,150,Suitable
193,Maharashtra,Ulhasnagar,77.0,52.0,48.0,Alluvial,84.0,5.0,80.0,17200,24,70,140,Not Suitable
194,Maharashtra,Sangli,48.0,75.0,72.0,Black,65.0,19.0,50.0,11500,27,78,142,Suitable
195,Maharashtra,Mira-Bhayandar,79.0,56.0,52.0,Alluvial,89.0,7.0,82.0,19200,31,84,158,Not Suitable
196,Maharashtra,Jalgaon,60.0,65.0,62.0,Black,73.0,13.0,65.0,12200,25,72,135,Suitable
197,Maharashtra,Akola,62.0,62.0,58.0,Black,75.0,11.0,68.0,11800,23,68,130,Not Suitable
198,Maharashtra,Latur,55.0,70.0,68.0,Black,68.0,17.0,58.0,11200,26,75,136,Suitable
199,Maharashtra,Dhule,58.0,68.0,65.0,Black,70.0,14.0,62.0,11500,24,70,132,Suitable
200,Maharashtra,Ahmednagar,52.0,72.0,70.0,Black,67.0,16.0,55.0,10800,25,72,130,Suitable
301,Karnataka,Mysuru,52.0,78.0,75.0,Red,72.0,16.0,55.0,14500,32,85,155,Suitable
302,Karnataka,Mangaluru,45.0,82.0,80.0,Laterite,68.0,20.0,48.0,13800,35,88,160,Suitable
303,Karnataka,Hubballi-Dharwad,58.0,70.0,68.0,Black,75.0,12.0,62.0,12500,30,80,145,Suitable
304,Karnataka,Belagavi,55.0,72.0,70.0,Black,72.0,14.0,58.0,11800,28,78,140,Suitable
305,Karnataka,Kalaburagi,62.0,65.0,62.0,Red,78.0,10.0,68.0,11200,25,72,135,Suitable
306,Karnataka,Davanagere,60.0,68.0,65.0,Red,75.0,11.0,65.0,11500,26,75,138,Suitable
307,Karnataka,Ballari,65.0,60.0,55.0,Red,80.0,8.0,70.0,12200,22,65,130,Not Suitable
308,Karnataka,Tumakuru,58.0,68.0,65.0,Red,73.0,13.0,62.0,10800,24,70,132,Suitable
309,Karnataka,Shivamogga,50.0,75.0,72.0,Red,68.0,17.0,52.0,10500,26,75,135,Suitable
310,Karnataka,Hassan,48.0,78.0,75.0,Red,65.0,19.0,50.0,9800,25,72,130,Suitable
311,Karnataka,Nanded,55.0,72.0,70.0,Black,70.0,16.0,58.0,11800,26,75,138,Suitable
312,Kerala,Kozhikode,42.0,85.0,82.0,Laterite,70.0,22.0,45.0,13200,36,88,152,Suitable
313,Kerala,Kollam,40.0,82.0,80.0,Laterite,68.0,20.0,42.0,12500,33,85,148,Suitable
314,Kerala,Thrissur,38.0,88.0,85.0,Laterite,65.0,24.0,40.0,13800,35,90,155,Suitable
315,Kerala,Palakkad,45.0,80.0,78.0,Laterite,72.0,18.0,48.0,11800,30,82,142,Suitable
316,Kerala,Kannur,42.0,82.0,80.0,Laterite,70.0,20.0,45.0,12800,32,85,150,Suitable
317,Kerala,Alappuzha,35.0,90.0,88.0,Laterite,62.0,26.0,38.0,13500,34,88,154,Suitable
318,Kerala,Kottayam,38.0,88.0,85.0,Laterite,65.0,24.0,40.0,14200,36,90,158,Suitable
319,Kerala,Malappuram,48.0,78.0,75.0,Laterite,75.0,16.0,52.0,12200,28,80,145,Suitable
320,Kerala,Manjeri,45.0,80.0,78.0,Laterite,72.0,18.0,48.0,11500,26,78,140,Suitable
401,Tamil Nadu,Salem,55.0,75.0,72.0,Red,72.0,15.0,58.0,11200,28,80,142,Suitable
402,Tamil Nadu,Tiruchirappalli,52.0,78.0,75.0,Red,70.0,17.0,55.0,10800,30,82,145,Suitable
403,Tamil Nadu,Tiruppur,60.0,70.0,68.0,Red,78.0,10.0,65.0,11500,26,75,138,Suitable
404,Tamil Nadu,Erode,58.0,72.0,70.0,Red,75.0,12.0,62.0,11000,27,78,140,Suitable
405,Tamil Nadu,Vellore,55.0,75.0,72.0,Red,72.0,14.0,58.0,10500,28,80,142,Suitable
406,Tamil Nadu,Tuticorin,62.0,65.0,62.0,Alluvial,80.0,8.0,68.0,11800,24,70,135,Not Suitable
407,Tamil Nadu,Dindigul,50.0,78.0,75.0,Red,68.0,18.0,52.0,9800,26,75,138,Suitable
408,Tamil Nadu,Thanjavur,48.0,80.0,78.0,Alluvial,65.0,20.0,50.0,9500,28,80,140,Suitable
409,Tamil Nadu,Hosur,65.0,68.0,65.0,Red,82.0,6.0,70.0,13500,25,72,132,Not Suitable
410,Tamil Nadu,Nagercoil,45.0,82.0,80.0,Laterite,70.0,22.0,48.0,11200,30,82,148,Suitable
501,Andhra Pradesh,Srikakulam,40.0,80.0,78.0,Alluvial,65.0,22.0,42.0,9800,26,75,135,Suitable
502,Andhra Pradesh,Vizianagaram,42.0,82.0,80.0,Alluvial,68.0,20.0,45.0,10200,28,78,140,Suitable
503,Andhra Pradesh,Machilipatnam,45.0,78.0,75.0,Alluvial,70.0,18.0,48.0,10500,25,72,135,Suitable
504,Andhra Pradesh,Proddatur,55.0,72.0,70.0,Red,75.0,14.0,58.0,11200,26,75,138,Suitable
